trl Lum_S Lum_CD Lum_CL
448 51.9 63.0 75.6
449 55.4 67.1666666667 63.8083333334
450 55.4 67.1666666667 63.8083333334
451 51.9 63.0 69.3
452 55.4 67.1666666667 67.1666666667
453 48.8333333333 64.0 51.2
454 55.4 67.1666666667 67.1666666667
455 51.9 63.0 69.3
456 53.0 68.4285714286 54.7428571429
457 55.4 67.1666666667 53.7333333334
458 48.8333333333 64.0 64.0
459 55.4 67.1666666667 60.45
460 51.9 63.0 56.7
461 53.0 68.4285714286 65.0071428572
462 48.8333333333 64.0 67.2
463 51.9 63.0 56.7
464 48.8333333333 64.0 70.4
465 48.8333333333 64.0 57.6
466 48.8333333333 64.0 76.8
467 55.4 67.1666666667 60.45
468 53.0 68.4285714286 71.85
469 53.0 68.4285714286 68.4285714286
470 48.8333333333 64.0 67.2
471 51.9 63.0 50.4
472 51.9 63.0 69.3
473 51.9 63.0 59.85
474 51.9 63.0 59.85
475 53.0 68.4285714286 54.7428571429
476 48.8333333333 64.0 57.6
477 51.9 63.0 56.7
478 51.9 63.0 56.7
479 53.0 68.4285714286 61.5857142857
480 51.9 63.0 66.15
481 51.9 63.0 63.0
482 51.9 63.0 50.4
483 53.0 68.4285714286 75.2714285715
484 55.4 67.1666666667 80.6
485 55.4 67.1666666667 80.6
486 55.4 67.1666666667 70.525
487 53.0 68.4285714286 71.85
488 51.9 63.0 56.7
489 51.9 63.0 69.3
490 51.9 63.0 59.85
491 48.8333333333 64.0 51.2
492 55.4 67.1666666667 60.45
493 55.4 67.1666666667 67.1666666667
494 48.8333333333 64.0 64.0
495 55.4 67.1666666667 70.525
496 53.0 68.4285714286 65.0071428572
497 53.0 68.4285714286 75.2714285715
498 48.8333333333 64.0 60.8
499 51.9 63.0 59.85
500 48.8333333333 64.0 64.0
501 53.0 68.4285714286 54.7428571429
502 53.0 68.4285714286 61.5857142857
503 55.4 67.1666666667 60.45
504 55.4 67.1666666667 53.7333333334
505 51.9 63.0 69.3
506 53.0 68.4285714286 68.4285714286
507 53.0 68.4285714286 65.0071428572
508 48.8333333333 64.0 76.8
509 48.8333333333 64.0 57.6
510 55.4 67.1666666667 60.45
511 53.0 68.4285714286 54.7428571429
512 55.4 67.1666666667 67.1666666667
513 51.9 63.0 63.0
514 53.0 68.4285714286 82.1142857143
515 48.8333333333 64.0 60.8
516 55.4 67.1666666667 63.8083333334
517 51.9 63.0 56.7
518 55.4 67.1666666667 70.525
519 51.9 63.0 50.4
520 55.4 67.1666666667 73.8833333334
521 48.8333333333 64.0 64.0
522 55.4 67.1666666667 70.525
523 48.8333333333 64.0 70.4
524 51.9 63.0 69.3
525 48.8333333333 64.0 67.2
526 53.0 68.4285714286 61.5857142857
527 53.0 68.4285714286 65.0071428572
528 53.0 68.4285714286 68.4285714286
529 51.9 63.0 50.4
530 55.4 67.1666666667 53.7333333334
531 51.9 63.0 75.6
532 53.0 68.4285714286 68.4285714286
533 51.9 63.0 63.0
534 48.8333333333 64.0 60.8
535 51.9 63.0 50.4
536 48.8333333333 64.0 67.2
537 48.8333333333 64.0 76.8
538 48.8333333333 64.0 51.2
539 51.9 63.0 56.7
540 55.4 67.1666666667 63.8083333334
541 51.9 63.0 69.3
542 53.0 68.4285714286 71.85
543 55.4 67.1666666667 80.6
544 55.4 67.1666666667 53.7333333334
545 48.8333333333 64.0 76.8
546 53.0 68.4285714286 61.5857142857
547 48.8333333333 64.0 60.8
548 53.0 68.4285714286 65.0071428572
549 55.4 67.1666666667 73.8833333334
550 51.9 63.0 75.6
551 48.8333333333 64.0 70.4
552 48.8333333333 64.0 57.6
553 48.8333333333 64.0 51.2
554 55.4 67.1666666667 73.8833333334
555 55.4 67.1666666667 53.7333333334
556 53.0 68.4285714286 68.4285714286
557 48.8333333333 64.0 60.8
558 48.8333333333 64.0 60.8
559 55.4 67.1666666667 80.6
