Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
277 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.498564910002
278 48.8333333333 64.0 -15.1666666667 57.6 18.0 1 0.203727619995
279 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.505766890001
280 51.9 63.0 -11.1 75.6 46.0 1 0.3024467
281 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 1 0.259818269999
282 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.259685789999
283 48.8333333333 64.0 -15.1666666667 70.4 44.0 0 0.257525779998
284 53.0 68.4285714286 -15.4285714286 71.85 36.0 0 0.27671468
285 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.19468493
286 51.9 63.0 -11.1 59.85 15.0 1 0.233031469998
287 48.8333333333 64.0 -15.1666666667 64.0 31.0 0 0.213644189997
288 51.9 63.0 -11.1 50.4 -3.0 1 0.129441539997
289 53.0 68.4285714286 -15.4285714286 75.2714285715 42.0 1 0.506201849999
290 48.8333333333 64.0 -15.1666666667 60.8 25.0 1 0.650929719999
291 51.9 63.0 -11.1 59.85 15.0 1 0.25352894
292 48.8333333333 64.0 -15.1666666667 67.2 38.0 1 0.674679010001
293 55.4 67.1666666667 -11.7666666667 53.7333333334 -3.0 1 0.175873119999
294 55.4 67.1666666667 -11.7666666667 70.525 27.0 0 0.220090309998
295 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.150597489999
296 48.8333333333 64.0 -15.1666666667 64.0 31.0 0 0.220961979998
297 55.4 67.1666666667 -11.7666666667 53.7333333334 -3.0 1 0.151904909999
298 55.4 67.1666666667 -11.7666666667 67.1666666667 21.0 0 0.209381419998
299 53.0 68.4285714286 -15.4285714286 54.7428571429 3.0 1 0.130793259996
300 51.9 63.0 -11.1 63.0 21.0 0 0.366118739996
301 48.8333333333 64.0 -15.1666666667 60.8 25.0 1 0.349868009998
302 48.8333333333 64.0 -15.1666666667 57.6 18.0 1 0.325927079997
303 51.9 63.0 -11.1 59.85 15.0 1 0.111967109999
304 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.221524779998
305 48.8333333333 64.0 -15.1666666667 51.2 5.0 1 0.168586499996
306 51.9 63.0 -11.1 66.15 27.0 1 0.374602020001
307 53.0 68.4285714286 -15.4285714286 65.0071428572 23.0 1 0.361258579997
308 53.0 68.4285714286 -15.4285714286 82.1142857143 55.0 1 0.296552199998
309 55.4 67.1666666667 -11.7666666667 73.8833333334 33.0 0 0.310470329998
310 55.4 67.1666666667 -11.7666666667 60.45 9.0 1 0.178187179998
311 55.4 67.1666666667 -11.7666666667 70.525 27.0 0 0.267384129998
312 48.8333333333 64.0 -15.1666666667 64.0 31.0 0 0.26648097
313 48.8333333333 64.0 -15.1666666667 67.2 38.0 0 0.293765099999
314 51.9 63.0 -11.1 66.15 27.0 0 0.566754819996
315 55.4 67.1666666667 -11.7666666667 70.525 27.0 0 0.32078047
316 55.4 67.1666666667 -11.7666666667 80.6 45.0 1 0.371631530001
317 55.4 67.1666666667 -11.7666666667 67.1666666667 21.0 0 0.32073933
318 53.0 68.4285714286 -15.4285714286 61.5857142857 16.0 1 0.187618489996
