Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
129 48.8333333333 64.0 -15.1666666667 46.3916666666 -28.0 1 0.23367229
130 51.9 63.0 -11.1 62.28 -1.0 1 0.10879615
131 48.8333333333 64.0 -15.1666666667 53.7166666666 -16.0 1 0.19112035
132 55.4 67.1666666667 -11.7666666667 52.63 -22.0 1 0.17628516
133 51.9 63.0 -11.1 49.305 -22.0 1 0.33861978
134 53.0 68.4285714286 -15.4285714286 58.3 -15.0 1 0.14700371
135 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 0.30010377
136 51.9 63.0 -11.1 46.71 -26.0 1 0.25297437
137 55.4 67.1666666667 -11.7666666667 55.4 -18.0 1 0.25254686
138 55.4 67.1666666667 -11.7666666667 55.4 -18.0 1 0.17503947
139 48.8333333333 64.0 -15.1666666667 39.0666666666 -39.0 0 0.62660376
140 55.4 67.1666666667 -11.7666666667 49.86 -26.0 1 0.59338226
141 53.0 68.4285714286 -15.4285714286 50.35 -26.0 1 0.33600407
142 53.0 68.4285714286 -15.4285714286 47.7 -30.0 1 0.33537064
143 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.46596536
144 48.8333333333 64.0 -15.1666666667 43.95 -31.0 1 0.43540286
145 53.0 68.4285714286 -15.4285714286 58.3 -15.0 1 0.24613507
146 51.9 63.0 -11.1 46.71 -26.0 1 0.47400088
147 51.9 63.0 -11.1 46.71 -26.0 1 0.3201813
148 53.0 68.4285714286 -15.4285714286 50.35 -26.0 0 0.57980535
149 53.0 68.4285714286 -15.4285714286 47.7 -30.0 1 0.211384
150 51.9 63.0 -11.1 54.495 -14.0 1 0.32652653
151 51.9 63.0 -11.1 49.305 -22.0 0 0.2594369
152 48.8333333333 64.0 -15.1666666667 48.8333333333 -24.0 1 0.49906071
153 53.0 68.4285714286 -15.4285714286 63.6 -7.0 1 0.19108096
154 53.0 68.4285714286 -15.4285714286 42.4 -38.0 1 0.18400377
155 55.4 67.1666666667 -11.7666666667 44.32 -34.0 1 0.23795315
